timestamp_ms,session_id,type,state,address
1747216731974,session-type:IPv4,,,
1747216731974,apn:internet,,,
1747216731974,s-nssai:,,,
1747216731974,sst:0x01,,,
1747216731974,sd:null,,,
1747216731974,emergency:false,,,
1747216731974,address:10.45.0.10,,,
1747216731974,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216731974,data-pending:false,,,
1747216733097,session-type:IPv4,,,
1747216733097,apn:internet,,,
1747216733097,s-nssai:,,,
1747216733097,sst:0x01,,,
1747216733097,sd:null,,,
1747216733097,emergency:false,,,
1747216733097,address:10.45.0.10,,,
1747216733097,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216733097,data-pending:false,,,
1747216734213,session-type:IPv4,,,
1747216734213,apn:internet,,,
1747216734213,s-nssai:,,,
1747216734213,sst:0x01,,,
1747216734213,sd:null,,,
1747216734213,emergency:false,,,
1747216734213,address:10.45.0.10,,,
1747216734213,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216734213,data-pending:false,,,
1747216735349,session-type:IPv4,,,
1747216735349,apn:internet,,,
1747216735349,s-nssai:,,,
1747216735349,sst:0x01,,,
1747216735349,sd:null,,,
1747216735349,emergency:false,,,
1747216735349,address:10.45.0.10,,,
1747216735349,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216735349,data-pending:false,,,
1747216736529,session-type:IPv4,,,
1747216736529,apn:internet,,,
1747216736529,s-nssai:,,,
1747216736529,sst:0x01,,,
1747216736529,sd:null,,,
1747216736529,emergency:false,,,
1747216736529,address:10.45.0.10,,,
1747216736529,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216736529,data-pending:false,,,
1747216737711,session-type:IPv4,,,
1747216737711,apn:internet,,,
1747216737711,s-nssai:,,,
1747216737711,sst:0x01,,,
1747216737711,sd:null,,,
1747216737711,emergency:false,,,
1747216737711,address:10.45.0.10,,,
1747216737711,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216737711,data-pending:false,,,
1747216738900,session-type:IPv4,,,
1747216738900,apn:internet,,,
1747216738900,s-nssai:,,,
1747216738900,sst:0x01,,,
1747216738900,sd:null,,,
1747216738900,emergency:false,,,
1747216738900,address:10.45.0.10,,,
1747216738900,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216738900,data-pending:false,,,
1747216740077,session-type:IPv4,,,
1747216740077,apn:internet,,,
1747216740077,s-nssai:,,,
1747216740077,sst:0x01,,,
1747216740077,sd:null,,,
1747216740077,emergency:false,,,
1747216740077,address:10.45.0.10,,,
1747216740077,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216740077,data-pending:false,,,
1747216741211,session-type:IPv4,,,
1747216741211,apn:internet,,,
1747216741211,s-nssai:,,,
1747216741211,sst:0x01,,,
1747216741211,sd:null,,,
1747216741211,emergency:false,,,
1747216741211,address:10.45.0.10,,,
1747216741211,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216741211,data-pending:false,,,
1747216742374,session-type:IPv4,,,
1747216742374,apn:internet,,,
1747216742374,s-nssai:,,,
1747216742374,sst:0x01,,,
1747216742374,sd:null,,,
1747216742374,emergency:false,,,
1747216742374,address:10.45.0.10,,,
1747216742374,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216742374,data-pending:false,,,
1747216743525,session-type:IPv4,,,
1747216743525,apn:internet,,,
1747216743525,s-nssai:,,,
1747216743525,sst:0x01,,,
1747216743525,sd:null,,,
1747216743525,emergency:false,,,
1747216743525,address:10.45.0.10,,,
1747216743525,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216743525,data-pending:false,,,
1747216744663,session-type:IPv4,,,
1747216744663,apn:internet,,,
1747216744663,s-nssai:,,,
1747216744663,sst:0x01,,,
1747216744663,sd:null,,,
1747216744663,emergency:false,,,
1747216744663,address:10.45.0.10,,,
1747216744663,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216744663,data-pending:false,,,
1747216745798,session-type:IPv4,,,
1747216745798,apn:internet,,,
1747216745798,s-nssai:,,,
1747216745798,sst:0x01,,,
1747216745798,sd:null,,,
1747216745798,emergency:false,,,
1747216745798,address:10.45.0.10,,,
1747216745798,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216745798,data-pending:false,,,
1747216746942,session-type:IPv4,,,
1747216746942,apn:internet,,,
1747216746942,s-nssai:,,,
1747216746942,sst:0x01,,,
1747216746942,sd:null,,,
1747216746942,emergency:false,,,
1747216746942,address:10.45.0.10,,,
1747216746942,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216746942,data-pending:false,,,
1747216748065,session-type:IPv4,,,
1747216748065,apn:internet,,,
1747216748065,s-nssai:,,,
1747216748065,sst:0x01,,,
1747216748065,sd:null,,,
1747216748065,emergency:false,,,
1747216748065,address:10.45.0.10,,,
1747216748065,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216748065,data-pending:false,,,
1747216749223,session-type:IPv4,,,
1747216749223,apn:internet,,,
1747216749223,s-nssai:,,,
1747216749223,sst:0x01,,,
1747216749223,sd:null,,,
1747216749223,emergency:false,,,
1747216749223,address:10.45.0.10,,,
1747216749223,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216749223,data-pending:false,,,
1747216750365,session-type:IPv4,,,
1747216750365,apn:internet,,,
1747216750365,s-nssai:,,,
1747216750365,sst:0x01,,,
1747216750365,sd:null,,,
1747216750365,emergency:false,,,
1747216750365,address:10.45.0.10,,,
1747216750365,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216750365,data-pending:false,,,
1747216751578,session-type:IPv4,,,
1747216751578,apn:internet,,,
1747216751578,s-nssai:,,,
1747216751578,sst:0x01,,,
1747216751578,sd:null,,,
1747216751578,emergency:false,,,
1747216751578,address:10.45.0.10,,,
1747216751578,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216751578,data-pending:false,,,
1747216752749,session-type:IPv4,,,
1747216752749,apn:internet,,,
1747216752749,s-nssai:,,,
1747216752749,sst:0x01,,,
1747216752749,sd:null,,,
1747216752749,emergency:false,,,
1747216752749,address:10.45.0.10,,,
1747216752749,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216752749,data-pending:false,,,
1747216753916,session-type:IPv4,,,
1747216753916,apn:internet,,,
1747216753916,s-nssai:,,,
1747216753916,sst:0x01,,,
1747216753916,sd:null,,,
1747216753916,emergency:false,,,
1747216753916,address:10.45.0.10,,,
1747216753916,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216753916,data-pending:false,,,
1747216755085,session-type:IPv4,,,
1747216755085,apn:internet,,,
1747216755085,s-nssai:,,,
1747216755085,sst:0x01,,,
1747216755085,sd:null,,,
1747216755085,emergency:false,,,
1747216755085,address:10.45.0.10,,,
1747216755085,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216755085,data-pending:false,,,
1747216756267,session-type:IPv4,,,
1747216756267,apn:internet,,,
1747216756267,s-nssai:,,,
1747216756267,sst:0x01,,,
1747216756267,sd:null,,,
1747216756267,emergency:false,,,
1747216756267,address:10.45.0.10,,,
1747216756267,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216756267,data-pending:false,,,
1747216757404,session-type:IPv4,,,
1747216757404,apn:internet,,,
1747216757404,s-nssai:,,,
1747216757404,sst:0x01,,,
1747216757404,sd:null,,,
1747216757404,emergency:false,,,
1747216757404,address:10.45.0.10,,,
1747216757404,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216757404,data-pending:false,,,
1747216758543,session-type:IPv4,,,
1747216758543,apn:internet,,,
1747216758543,s-nssai:,,,
1747216758543,sst:0x01,,,
1747216758543,sd:null,,,
1747216758543,emergency:false,,,
1747216758543,address:10.45.0.10,,,
1747216758543,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216758543,data-pending:false,,,
1747216759747,session-type:IPv4,,,
1747216759747,apn:internet,,,
1747216759747,s-nssai:,,,
1747216759747,sst:0x01,,,
1747216759747,sd:null,,,
1747216759747,emergency:false,,,
1747216759747,address:10.45.0.10,,,
1747216759747,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216759747,data-pending:false,,,
1747216760909,session-type:IPv4,,,
1747216760909,apn:internet,,,
1747216760909,s-nssai:,,,
1747216760909,sst:0x01,,,
1747216760909,sd:null,,,
1747216760909,emergency:false,,,
1747216760909,address:10.45.0.10,,,
1747216760909,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216760909,data-pending:false,,,
1747216762086,session-type:IPv4,,,
1747216762086,apn:internet,,,
1747216762086,s-nssai:,,,
1747216762086,sst:0x01,,,
1747216762086,sd:null,,,
1747216762086,emergency:false,,,
1747216762086,address:10.45.0.10,,,
1747216762086,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216762086,data-pending:false,,,
1747216763259,session-type:IPv4,,,
1747216763259,apn:internet,,,
1747216763259,s-nssai:,,,
1747216763259,sst:0x01,,,
1747216763259,sd:null,,,
1747216763259,emergency:false,,,
1747216763259,address:10.45.0.10,,,
1747216763259,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216763259,data-pending:false,,,
1747216764402,session-type:IPv4,,,
1747216764402,apn:internet,,,
1747216764402,s-nssai:,,,
1747216764402,sst:0x01,,,
1747216764402,sd:null,,,
1747216764402,emergency:false,,,
1747216764402,address:10.45.0.10,,,
1747216764402,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216764402,data-pending:false,,,
1747216765581,session-type:IPv4,,,
1747216765581,apn:internet,,,
1747216765581,s-nssai:,,,
1747216765581,sst:0x01,,,
1747216765581,sd:null,,,
1747216765581,emergency:false,,,
1747216765581,address:10.45.0.10,,,
1747216765581,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216765581,data-pending:false,,,
1747216766749,session-type:IPv4,,,
1747216766749,apn:internet,,,
1747216766749,s-nssai:,,,
1747216766749,sst:0x01,,,
1747216766749,sd:null,,,
1747216766749,emergency:false,,,
1747216766749,address:10.45.0.10,,,
1747216766749,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216766749,data-pending:false,,,
1747216767906,session-type:IPv4,,,
1747216767906,apn:internet,,,
1747216767906,s-nssai:,,,
1747216767906,sst:0x01,,,
1747216767906,sd:null,,,
1747216767906,emergency:false,,,
1747216767906,address:10.45.0.10,,,
1747216767906,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216767906,data-pending:false,,,
1747216769087,session-type:IPv4,,,
1747216769087,apn:internet,,,
1747216769087,s-nssai:,,,
1747216769087,sst:0x01,,,
1747216769087,sd:null,,,
1747216769087,emergency:false,,,
1747216769087,address:10.45.0.10,,,
1747216769087,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216769087,data-pending:false,,,
1747216770268,session-type:IPv4,,,
1747216770268,apn:internet,,,
1747216770268,s-nssai:,,,
1747216770268,sst:0x01,,,
1747216770268,sd:null,,,
1747216770268,emergency:false,,,
1747216770268,address:10.45.0.10,,,
1747216770268,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216770268,data-pending:false,,,
1747216771462,session-type:IPv4,,,
1747216771462,apn:internet,,,
1747216771462,s-nssai:,,,
1747216771462,sst:0x01,,,
1747216771462,sd:null,,,
1747216771462,emergency:false,,,
1747216771462,address:10.45.0.10,,,
1747216771462,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216771462,data-pending:false,,,
1747216772614,session-type:IPv4,,,
1747216772614,apn:internet,,,
1747216772614,s-nssai:,,,
1747216772614,sst:0x01,,,
1747216772614,sd:null,,,
1747216772614,emergency:false,,,
1747216772614,address:10.45.0.10,,,
1747216772614,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216772614,data-pending:false,,,
1747216773781,session-type:IPv4,,,
1747216773781,apn:internet,,,
1747216773781,s-nssai:,,,
1747216773781,sst:0x01,,,
1747216773781,sd:null,,,
1747216773781,emergency:false,,,
1747216773781,address:10.45.0.10,,,
1747216773781,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216773781,data-pending:false,,,
1747216774977,session-type:IPv4,,,
1747216774977,apn:internet,,,
1747216774977,s-nssai:,,,
1747216774977,sst:0x01,,,
1747216774977,sd:null,,,
1747216774977,emergency:false,,,
1747216774977,address:10.45.0.10,,,
1747216774977,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216774977,data-pending:false,,,
1747216776219,session-type:IPv4,,,
1747216776219,apn:internet,,,
1747216776219,s-nssai:,,,
1747216776219,sst:0x01,,,
1747216776219,sd:null,,,
1747216776219,emergency:false,,,
1747216776219,address:10.45.0.10,,,
1747216776219,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216776219,data-pending:false,,,
1747216777492,session-type:IPv4,,,
1747216777492,apn:internet,,,
1747216777492,s-nssai:,,,
1747216777492,sst:0x01,,,
1747216777492,sd:null,,,
1747216777492,emergency:false,,,
1747216777492,address:10.45.0.10,,,
1747216777492,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216777492,data-pending:false,,,
1747216778732,session-type:IPv4,,,
1747216778732,apn:internet,,,
1747216778732,s-nssai:,,,
1747216778732,sst:0x01,,,
1747216778732,sd:null,,,
1747216778732,emergency:false,,,
1747216778732,address:10.45.0.10,,,
1747216778732,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216778732,data-pending:false,,,
1747216779968,session-type:IPv4,,,
1747216779968,apn:internet,,,
1747216779968,s-nssai:,,,
1747216779968,sst:0x01,,,
1747216779968,sd:null,,,
1747216779968,emergency:false,,,
1747216779968,address:10.45.0.10,,,
1747216779968,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216779968,data-pending:false,,,
1747216781173,session-type:IPv4,,,
1747216781173,apn:internet,,,
1747216781173,s-nssai:,,,
1747216781173,sst:0x01,,,
1747216781173,sd:null,,,
1747216781173,emergency:false,,,
1747216781173,address:10.45.0.10,,,
