timestamp,Busy%,Bzy_MHz,PkgTmp,PkgWatt,RAMWatt
1747212420477,4.37	1658	64	21.75	3.23
1747212422508,4.72	2003	65	25.03	3.40
1747212424537,3.39	2031	64	21.88	3.38
1747212426567,3.41	2019	64	21.63	3.38
1747212428597,3.85	2058	65	22.95	3.39
1747212430627,4.65	2161	64	26.99	3.40
1747212432657,3.41	2049	65	21.85	3.38
1747212434699,3.41	2049	65	21.66	3.39
1747212436741,3.42	2022	65	22.08	3.35
1747212438783,3.95	2121	64	23.78	3.38
1747212440823,3.42	2044	65	21.83	3.36
1747212442865,3.36	2056	65	21.99	3.39
1747212444907,3.37	2042	65	21.97	3.37
1747212446949,3.52	2072	66	22.99	3.37
1747212449030,3.36	2039	64	22.16	3.40
1747212451081,3.36	2014	65	22.41	3.40
1747212453129,3.35	1998	64	22.56	3.38
1747212455186,4.06	2132	65	25.60	3.40
1747212457236,3.56	2065	64	23.06	3.40
1747212459293,3.41	2043	64	21.99	3.39
1747212461337,3.34	2049	64	21.78	3.40
1747212463384,3.95	2124	65	25.05	3.41
1747212465458,4.03	2125	65	25.17	3.41
1747212467579,3.42	2050	64	21.96	3.43
1747212469622,3.35	2067	64	21.81	3.40
1747212471674,3.90	2128	64	23.89	3.41
1747212473721,4.49	2206	66	27.04	3.41
1747212475789,3.50	2013	64	22.06	3.38
1747212477853,3.41	2060	65	21.84	3.38
1747212479897,3.33	2069	65	21.79	3.38
1747212481944,4.29	2186	65	25.73	3.40
1747212483997,3.39	2064	65	21.84	3.38
1747212486055,3.44	2037	64	22.04	3.37
1747212488095,3.40	2061	64	21.99	3.40
1747212490140,3.70	2129	64	22.75	3.39
1747212492179,3.41	2065	64	21.82	3.38
1747212494220,3.43	2075	65	21.83	3.40
1747212496261,3.49	2044	65	21.88	3.41
1747212498301,3.71	2124	66	24.13	3.39
1747212500365,3.36	2080	65	22.05	3.38
1747212502409,3.43	2074	65	22.00	3.37
1747212504446,3.39	2082	65	21.96	3.37
1747212506488,4.02	2157	65	25.59	3.38
1747212508528,3.96	2151	64	25.33	3.39
1747212510569,3.41	2053	65	22.19	3.36
1747212512612,3.37	2072	64	22.02	3.36
1747212514657,3.88	2147	66	23.84	3.38
1747212516698,4.51	2195	64	27.33	3.41
1747212518744,3.41	2073	64	21.97	3.38
1747212520788,3.45	2061	65	21.99	3.35
1747212522837,3.39	2073	65	21.80	3.41
1747212524890,4.20	2173	65	25.31	3.38
1747212526938,3.40	2069	64	22.11	3.41
1747212529000,3.46	2048	65	21.87	3.36
1747212531073,3.37	2055	65	21.95	3.38
1747212533131,3.56	2125	66	23.08	3.38
1747212535185,3.26	2059	65	21.95	3.37
1747212537240,3.26	2035	65	21.92	3.41
1747212539309,3.33	2045	65	21.93	3.40
1747212541359,3.57	2106	65	23.50	3.39
1747212543419,3.42	2070	65	22.19	3.36
1747212545459,3.44	2038	64	21.99	3.38
1747212547506,3.40	2050	65	22.19	3.40
1747212549558,4.07	2141	66	25.42	3.39
1747212551601,3.65	2117	65	24.16	3.35
1747212553650,3.31	2105	64	21.92	3.37
1747212555693,3.36	2089	65	22.22	3.39
1747212557747,3.99	2185	65	25.51	3.37
1747212559800,4.21	2214	65	26.78	3.38
1747212561862,3.26	2124	65	21.98	3.39
1747212563894,3.26	2122	65	22.06	3.38
1747212565940,3.41	2086	65	22.04	3.36
1747212567977,4.31	2223	65	26.05	3.36
1747212570020,3.23	2124	64	22.01	3.39
1747212572074,3.21	2107	65	22.22	3.37
1747212574130,3.24	2080	66	22.01	3.38
1747212576190,3.60	2135	65	23.30	3.35
1747212578238,3.13	2089	65	22.18	3.37
1747212580321,3.12	2107	65	22.23	3.37
1747212582390,3.15	2111	65	22.29	3.37
1747212584442,3.37	2132	65	23.51	3.40
1747212586504,3.21	2122	64	22.01	3.38
1747212588557,3.24	2122	64	21.75	3.39
1747212590613,3.24	2099	64	22.03	3.40
1747212592660,3.86	2203	65	25.46	3.41
1747212594740,3.28	2126	66	22.40	3.38
1747212596956,3.28	2084	64	21.99	3.41
1747212599019,3.23	2132	64	21.88	3.42
1747212601080,3.85	2191	65	25.28	3.39
1747212603153,3.73	2182	65	25.15	3.40
1747212605318,3.24	2083	65	21.99	3.38
1747212607396,3.28	2103	64	22.37	3.37
1747212609446,4.01	2176	65	25.21	3.42
1747212611506,4.20	2212	65	26.51	3.37
1747212613678,3.37	2121	64	22.14	3.38
1747212615721,3.47	2082	65	22.34	3.37
1747212617760,3.50	2139	65	22.32	3.42
1747212619799,4.27	2107	65	24.10	3.37
1747212621837,1.63	1200	66	13.07	2.30
1747212623870,1.63	1200	64	13.31	2.35
1747212625903,4.73	1235	65	21.27	3.41
1747212627954,4.58	1380	64	21.85	3.42
1747212630014,3.25	1991	65	21.92	3.36
1747212632079,3.23	2006	65	21.83	3.41
1747212634136,3.26	1969	65	22.02	3.40
1747212636224,3.26	2043	65	22.82	3.39
1747212638360,3.27	2089	65	22.23	3.38
1747212640398,3.30	2066	65	22.13	3.41
1747212642443,3.21	2067	65	22.14	3.40
1747212644486,3.93	2176	65	25.54	3.39
1747212646539,3.59	2131	64	23.92	3.40
1747212648583,3.27	2098	64	21.87	3.38
1747212650629,3.24	2107	66	21.93	3.39
1747212652691,3.81	2175	64	24.70	3.42
1747212654754,4.02	2206	64	26.64	3.38
1747212656891,3.14	2123	65	21.87	3.41
1747212658931,3.15	2118	63	22.10	3.39
1747212660984,3.25	2124	63	22.12	3.42
1747212663033,4.22	2227	65	26.47	3.39
1747212665088,3.13	2120	64	22.12	3.40
1747212667133,3.15	2113	66	21.84	3.41
1747212669175,3.14	2112	65	21.78	3.40
1747212671227,3.56	2155	65	23.24	3.40
1747212673285,3.09	2121	65	21.68	3.38
1747212675342,3.14	2093	64	21.96	3.38
1747212677400,3.13	2082	65	21.59	3.38
1747212679457,3.32	2132	65	23.41	3.37
1747212681511,3.11	2130	65	22.20	3.40
1747212683552,3.03	2171	65	21.88	3.41
1747212685598,3.14	2136	64	22.05	3.41
1747212687641,3.82	2194	65	25.10	3.40
1747212689703,3.69	2185	65	24.53	3.41
