timestamp,Busy%,Bzy_MHz,PkgTmp,PkgWatt,RAMWatt
1747229378408,18.75	1695	64	33.43	4.05
1747229381463,18.34	1691	66	32.06	3.95
1747229383503,18.37	1710	66	32.05	3.96
1747229385535,19.37	1717	66	34.20	4.06
1747229387566,19.36	1697	66	32.75	4.06
1747229389616,19.09	1707	65	31.59	3.95
1747229391655,18.84	1734	65	31.55	3.97
1747229393681,19.32	1761	66	34.03	4.04
1747229395713,18.53	1734	65	33.05	4.05
1747229397750,18.84	1688	65	31.52	3.96
1747229399777,18.81	1721	65	31.55	3.86
1747229401824,19.58	1724	66	33.35	4.10
1747229403854,18.53	1694	65	32.22	4.04
1747229405894,19.37	1704	66	32.25	4.06
1747229407921,18.87	1713	65	31.73	3.98
1747229409961,19.51	1733	67	32.74	4.02
1747229411992,18.81	1722	66	31.90	3.99
1747229414020,19.24	1730	65	31.86	3.96
1747229416059,19.37	1727	66	32.01	3.99
1747229418117,19.87	1746	66	33.10	4.00
1747229420140,19.20	1752	65	31.50	3.84
1747229422167,20.98	1639	65	31.33	3.94
1747229424221,19.61	1815	65	31.79	3.88
1747229426264,20.39	1789	66	32.90	3.96
1747229428294,19.72	1819	65	32.60	3.97
1747229430326,18.88	1779	66	32.25	3.97
1747229432355,19.13	1781	67	31.79	3.90
1747229434382,19.43	1737	66	33.98	4.01
1747229436416,18.77	1704	65	31.70	3.92
1747229438444,18.75	1728	66	31.57	4.00
1747229440477,18.63	1743	65	32.10	3.97
1747229442509,18.99	1791	65	34.08	4.04
1747229444541,25.07	1251	67	30.64	4.24
1747229446588,24.17	1213	66	28.26	4.02
1747229448621,23.74	1221	66	28.61	4.08
1747229450658,24.73	1225	66	28.81	4.09
1747229452702,25.24	1297	65	30.41	4.15
1747229454738,23.53	1201	65	28.74	4.09
1747229456780,23.80	1200	65	29.04	4.16
1747229458813,23.60	1201	65	28.42	4.06
1747229460853,19.91	1646	66	34.27	4.09
1747229462883,22.62	1200	66	28.39	4.03
1747229464915,22.64	1200	66	28.22	4.00
1747229466949,22.02	1212	65	28.42	4.08
1747229468983,17.82	1700	66	33.42	4.04
1747229472028,17.17	1702	65	31.91	3.92
1747229474060,16.97	1740	66	31.78	3.96
1747229476091,17.47	1775	67	33.09	4.00
1747229478129,17.94	1781	66	35.11	4.03
1747229480168,17.65	1761	65	31.72	3.93
1747229482203,17.93	1741	67	31.92	3.94
1747229484234,18.79	1765	66	33.71	4.04
1747229486263,19.60	1759	66	34.84	4.07
1747229488316,19.02	1730	64	31.92	3.90
1747229490351,20.20	1641	66	31.89	3.98
1747229492382,20.04	1818	66	33.81	4.01
1747229494416,turbostat: re-initialized with num_cpus 24
1747229495446,19.40	1739	66	31.07	3.86
1747229497476,19.31	1745	65	31.36	3.93
1747229499506,19.51	1736	66	31.23	3.92
1747229501540,19.96	1745	65	31.36	3.90
1747229503584,19.47	1712	66	30.87	3.88
1747229505620,19.51	1725	65	30.76	3.92
1747229507668,19.30	1723	65	31.09	3.92
1747229509703,20.08	1770	66	33.35	3.94
1747229511733,19.42	1734	66	30.80	3.87
1747229513768,19.83	1681	65	30.69	3.90
1747229515799,20.59	1587	66	30.79	3.96
1747229517863,20.61	1673	65	32.55	3.93
1747229519889,19.04	1722	67	30.13	3.80
1747229521934,18.98	1717	65	30.07	3.77
1747229523983,18.90	1718	66	30.35	3.83
1747229526023,20.27	1775	66	34.09	4.04
1747229528059,19.76	1755	66	31.20	3.92
1747229530101,20.50	1818	66	31.67	3.92
1747229532126,19.57	1796	66	31.63	3.90
1747229534180,20.20	1806	66	34.53	4.04
1747229536205,19.40	1784	65	31.49	3.94
1747229538229,20.22	1740	65	31.24	3.92
1747229540262,19.70	1762	66	31.88	3.97
1747229542294,20.42	1773	67	35.21	4.02
1747229544322,19.91	1721	66	31.65	3.98
1747229546348,19.13	1796	65	31.23	3.88
1747229548392,19.21	1833	67	32.54	3.91
1747229550439,19.68	1864	67	35.08	4.02
1747229552472,18.92	1853	65	31.74	3.96
1747229554498,19.12	1850	67	31.64	3.82
1747229556533,19.32	1832	66	32.93	3.99
1747229558564,19.40	1849	66	34.90	4.08
1747229560605,19.27	1839	66	31.80	3.99
1747229562634,20.19	1808	66	32.01	4.01
1747229564670,20.00	1754	67	33.24	4.02
1747229566701,22.08	1589	66	32.75	4.11
1747229568739,18.27	1833	66	32.10	3.92
1747229570772,18.41	1824	66	32.11	3.99
1747229572799,19.29	1883	67	32.88	4.01
1747229574828,19.20	1889	67	34.34	3.98
1747229576859,18.85	1864	67	31.45	3.87
1747229578890,18.44	1837	66	31.02	3.82
1747229580916,19.22	1844	66	33.49	3.94
1747229582946,19.40	1851	67	33.22	4.05
1747229584983,19.03	1823	67	31.38	3.85
1747229587008,19.65	1778	65	31.58	3.91
1747229589034,20.04	1773	66	34.01	4.07
1747229591058,19.32	1748	66	31.81	3.95
1747229593081,19.53	1709	66	31.23	3.88
1747229595103,20.03	1639	66	30.91	3.91
1747229597123,19.60	1764	66	33.29	4.00
1747229599143,22.24	1437	66	32.31	4.05
1747229601178,24.97	1210	67	28.87	4.13
1747229603230,25.75	1217	65	29.07	4.14
1747229605319,25.82	1222	67	29.18	4.14
1747229607364,22.83	1514	66	34.02	4.12
1747229609401,24.60	1200	66	29.23	4.17
1747229611444,24.62	1200	66	28.87	4.10
1747229613479,24.77	1200	67	28.89	4.09
1747229615517,22.35	1504	66	34.73	4.19
1747229617555,23.69	1205	65	28.89	4.11
1747229619591,23.04	1221	66	28.52	4.04
1747229621635,23.35	1217	66	28.71	4.04
1747229623675,17.99	1685	66	32.13	3.90
1747229626741,18.16	1709	65	31.92	3.91
1747229628761,18.57	1751	65	32.36	3.91
1747229630814,18.92	1775	66	34.38	4.01
1747229632843,18.93	1766	66	32.98	3.95
1747229634877,19.48	1795	67	31.85	3.89
1747229636950,19.18	1767	65	31.68	3.90
1747229638993,19.77	1800	66	33.62	4.08
1747229641020,20.32	1784	66	32.84	4.04
1747229643081,20.65	1699	66	31.76	3.96
1747229645103,20.07	1807	66	32.41	3.96
1747229647127,19.90	1798	65	34.41	4.05
1747229649149,19.34	1805	66	32.39	3.97
1747229651188,18.85	1800	66	32.03	3.96
1747229653213,19.59	1820	65	32.79	4.00
1747229655282,19.97	1831	65	33.93	4.00
1747229657302,19.63	1841	65	32.74	3.99
1747229659354,19.02	1806	67	31.66	3.93
1747229661375,19.34	1826	66	31.72	3.86
1747229663420,19.54	1825	66	33.65	4.05
1747229665444,19.29	1818	66	32.83	4.04
1747229667493,19.97	1645	65	30.78	3.86
1747229669545,19.92	1702	66	31.94	3.98
1747229671606,20.30	1760	65	32.85	3.99
1747229673628,19.35	1770	66	32.10	4.00
1747229675652,19.66	1822	66	32.52	4.04
1747229677677,20.70	1874	66	33.13	4.06
1747229679745,19.69	1866	65	33.53	4.02
1747229681779,19.60	1843	67	32.31	4.01
1747229683803,18.71	1783	66	30.96	3.90
1747229685847,19.11	1794	66	32.02	4.00
1747229687874,20.05	1785	65	34.48	4.11
1747229689904,20.02	1727	66	32.41	4.09
1747229691930,20.08	1650	67	32.01	4.07
1747229693961,20.97	1622	66	31.92	4.08
1747229695989,21.14	1739	67	33.70	4.05
1747229698011,19.93	1744	65	32.14	4.00
1747229700040,19.72	1724	65	31.57	3.95
1747229702073,20.25	1760	66	32.08	4.02
1747229704107,20.80	1802	66	33.84	4.15
1747229706185,20.52	1752	65	31.91	3.97
1747229708246,19.94	1765	66	33.07	4.04
1747229710310,19.95	1817	67	32.48	4.05
1747229712342,19.54	1820	66	31.84	3.97
1747229714372,19.51	1851	67	31.87	3.94
1747229716402,19.77	1822	67	31.40	3.97
1747229718429,22.15	1603	65	32.59	4.16
1747229720548,20.40	1721	65	33.32	4.05
1747229722589,19.65	1835	65	32.01	3.96
1747229724617,19.12	1820	66	31.10	3.91
1747229726656,19.35	1864	67	31.65	3.92
1747229728692,20.74	1826	66	32.85	4.08
1747229730754,19.91	1844	65	32.61	4.02
1747229732842,19.10	1801	67	31.78	3.98
1747229734870,19.04	1827	65	31.28	3.90
1747229736902,20.40	1806	66	33.25	3.99
1747229738989,19.48	1774	65	30.97	3.81
1747229741029,19.84	1780	66	31.87	3.90
1747229743058,20.53	1664	65	31.30	3.92
1747229745104,20.41	1768	66	33.76	4.00
1747229747131,19.76	1801	67	32.41	3.95
1747229749165,19.28	1814	65	31.87	3.89
1747229751189,19.34	1800	65	31.76	3.95
1747229753220,20.93	1811	65	33.79	4.03
1747229755267,20.16	1900	65	32.12	3.89
1747229757312,19.43	1843	67	31.68	3.95
1747229759344,19.26	1818	66	31.50	3.94
1747229761373,20.63	1879	66	33.45	3.87
1747229763456,19.99	1796	65	32.05	3.95
1747229765501,20.55	1711	65	32.11	4.03
1747229767527,20.78	1629	64	31.32	4.04
1747229769561,20.99	1769	66	34.27	3.98
1747229771601,19.59	1832	66	32.10	3.93
1747229773626,19.57	1807	65	31.95	3.94
1747229775646,19.54	1829	67	31.96	3.97
1747229777669,20.37	1884	67	33.40	4.03
1747229779774,23.23	1235	65	28.01	3.88
1747229781868,25.88	1208	66	29.28	4.13
