Avg_MHz	Busy%	IRQ	PkgTmp	PkgWatt	RAMWatt	RAM_%
4	0.32	1316	62	14.54	1.44	0.00
3	0.29	1116	62	14.30	1.51	0.00
4	0.29	991	63	13.76	1.47	0.00
6	0.44	909	63	14.11	1.49	0.00
11	0.94	2845	63	21.63	2.56	0.00
12	0.99	2901	63	22.20	2.66	0.00
12	0.97	2713	62	21.70	2.62	0.00
12	0.98	2921	63	22.00	2.60	0.00
12	1.00	2767	63	21.86	2.61	0.00
12	1.03	3472	63	22.83	2.67	0.00
22	1.74	4370	63	24.83	2.94	0.00
20	1.67	4735	63	23.76	2.67	0.00
20	1.71	4798	63	23.91	2.69	0.00
21	1.78	4742	63	23.90	2.69	0.00
29	2.35	6283	63	26.99	3.01	0.00
28	2.33	6417	63	25.33	2.75	0.00
28	2.30	5236	64	24.96	2.77	0.00
28	2.37	5666	63	24.89	2.75	0.00
32	2.52	6681	63	25.24	2.75	0.00
36	3.02	8257	63	25.87	2.76	0.00
38	3.13	8202	63	25.50	2.69	0.00
38	3.15	8389	63	26.07	2.69	0.00
36	3.02	8052	65	25.53	2.67	0.00
41	3.37	8093	64	27.39	2.97	0.00
41	3.39	8484	64	27.70	2.91	0.00
46	3.85	9541	63	26.24	2.74	0.00
45	3.75	9350	62	26.12	2.66	0.00
45	3.79	10170	64	27.35	2.66	0.00
45	3.75	9877	63	26.83	2.71	0.00
44	3.71	10041	63	26.75	2.70	0.00
45	3.75	9416	62	26.81	2.71	0.00
44	3.65	9345	63	27.26	2.73	0.00
45	3.73	9814	63	26.90	2.68	0.00
48	3.97	9817	63	27.68	2.88	0.00
47	3.93	10208	63	27.96	2.87	0.00
48	3.99	10083	63	28.03	2.95	0.00
47	3.89	9698	63	27.35	2.82	0.00
45	3.77	9597	63	26.56	2.69	0.00
45	3.74	10053	63	27.07	2.69	0.00
47	3.89	10026	63	27.15	2.72	0.00
46	3.84	10064	63	27.31	2.72	0.00
44	3.70	9535	65	27.56	2.68	0.00
43	3.60	8587	65	27.27	2.68	0.00
43	3.57	8747	64	27.39	2.69	0.00
44	3.64	9461	64	27.31	2.68	0.00
43	3.62	10011	64	26.80	2.67	0.00
46	3.82	10130	63	27.17	2.70	0.00
45	3.78	10484	63	27.37	2.73	0.00
44	3.68	9693	63	26.98	2.66	0.00
45	3.75	10198	64	27.43	2.71	0.00
43	3.59	9272	63	27.15	2.73	0.00
45	3.74	9842	64	26.81	2.69	0.00
